x,l,P_forward,P_backward
0.50,22,-1.28198724677986320e-01,2.01779136487408417e+00
0.50,23,4.52449377842185640e-02,1.97837765554138123e+00
0.50,24,1.67159446063450901e-01,3.44472971327182366e-03
0.50,25,1.20381116869332061e-01,-1.89586671420071951e+00
0.50,26,-4.26641412083963445e-02,-1.86271997903654363e+00
0.50,27,-1.57796621504634693e-01,-2.57573612035920125e-03
0.50,28,-1.13838402812526898e-01,1.79366452466702864e+00
0.50,29,4.04796869645777518e-02,1.76522619187518504e+00
0.50,30,1.49848814900610805e-01,1.93004816580417417e-03
0.50,31,1.08258007920364427e-01,-1.70638449313543616e+00
0.50,32,-3.85995628883579883e-02,-1.68159196959081769e+00
0.50,33,-1.42992183252221100e-01,-1.43743125356403639e-03
0.50,34,-1.03425075400988040e-01,1.63071708969125284e+00
0.50,35,3.69591179783265653e-02,1.60881749305626864e+00
0.50,36,1.36997953535143741e-01,1.05341289732444228e-03
0.50,37,9.91864069408916194e-02,-1.56429676160198206e+00
0.50,38,-3.55114215925495386e-02,-1.54473960098092999e+00
0.50,39,-1.31699312694026655e-01,-7.48658894627687171e-04
0.50,40,-9.54294352326155310e-02,1.50538181029796192e+00
0.50,41,3.42214727034179864e-02,1.48775389445981898e+00
0.50,42,1.26971380041168647e-01,5.03152330144051945e-04
0.50,43,9.20693441443281718e-02,-1.45265766496002979e+00
0.50,44,-3.30625652611812801e-02,-1.43664190854448859e+00
0.50,45,-1.22718562143844578e-01,-3.02837155298575243e-04
0.50,46,-8.90408508867776283e-02,1.40511101725947629e+00
0.50,47,3.20139211145040598e-02,1.39045942152573154e+00
0.50,48,1.18866275929531084e-01,1.37598151601270823e-04
0.50,49,8.62927789609400503e-02,-1.36194650454862143e+00
0.50,50,-3.10590992396098109e-02,-1.34846188569170433e+00
0.90,0,1.00000000000000000e+00,1.00000000000000000e+00
0.90,1,9.00000000000000022e-01,4.50339269920113083e-01
0.90,2,7.15000000000000080e-01,1.07958014392152635e-01
0.90,3,4.72500000000000087e-01,-1.38289158358513103e-01
0.90,4,2.07937499999999997e-01,-2.98773935208772656e-01
0.90,5,-4.11412500000000875e-02,-3.73382448351401219e-01
0.90,6,-2.41164312500000116e-01,-3.67102760439168285e-01
0.90,7,-3.67824993750000162e-01,-2.93543943861408752e-01
0.90,8,-4.09685903515625172e-01,-1.74140489881855015e-01
0.90,9,-3.69510485976562664e-01,-3.51108827001234899e-02
0.90,10,-2.63145617855859604e-01,9.66868314764583320e-02
0.90,11,-1.16213392519101871e-01,1.98044540173299782e-01
0.90,12,4.07487142724205845e-02,2.52997236278855286e-01
0.90,13,1.77800521642975828e-01,2.55069487245742132e-01
0.90,14,2.70772813598774698e-01,2.07801747746172577e-01
0.90,15,3.05197542128423871e-01,1.23510186315647696e-01
0.90,16,2.78338701337587868e-01,2.05567488758739286e-02
0.90,17,1.99029338568916359e-01,-8.03310317315828054e-02
0.90,18,8.54259023434373183e-02,-1.59994012801928598e-01
0.90,19,-3.88339761160016519e-02,-2.04307476586091108e-01
0.90,20,-1.49308235309848353e-01,-2.06565309246757783e-01
0.90,21,-2.25371160029208123e-01,-1.68386208546835253e-01
0.90,22,-2.53926861437433593e-01,-9.90306716627550182e-02
0.90,23,-2.31559668155368742e-01,-1.33150267091827253e-02
0.90,24,-1.64777339579630255e-01,7.14366591018723435e-02
0.90,25,-6.83699455893138075e-02,1.38796692296518226e-01
0.90,26,3.77404994977404915e-02,1.76340449956283757e-01
