x,l,P_ref
0.90,42,0.16504671209795097448932132348431497
0.90,43,0.18316146880735014878208379283709124
0.90,44,0.16464850880462784319148825193232568
0.90,45,0.11398313172727297819120907971594476
0.90,46,0.041870338962074004359957419772443524
0.90,47,-0.03699312102827580309370874284912481
0.90,48,-0.10689203706531373848883883766135456
0.90,49,-0.15420418421315614391439126994147684
0.90,50,-0.17003765994383679151594420008419141
0.99,0,1.0
0.99,1,0.98999999999999999111821580299874768
0.99,2,0.97014999999999997362110093490628072
0.99,3,0.94074749999999994803490110939492355
0.99,4,0.90223254374999991513248698282723299
0.99,5,0.8551803929624998759139883675040079
0.99,6,0.80029196010193733158168228503105082
0.99,7,0.73838216696241915850972207263692975
0.99,8,0.67036643233479538555316635691571637
0.99,9,0.59724552449947255217368482914489487
0.99,10,0.52008904248219201356210030606203729
0.99,11,0.4400178134736405766557750601810946
0.99,12,0.35818551212422364094846664376074376
0.99,13,0.27575982026083447031323755241630946
0.99,14,0.19390345271122842807237961683303416
0.99,15,0.11375537624584570237524286842970654
0.99,16,0.036412544144786134593102349038711063
0.99,17,-0.037087541336668719501159294352181715
0.99,18,-0.1057831420987186337371547574290701
0.99,19,-0.16880319742189613515831678913845768
0.99,20,-0.22538058762918778394925007790727069
0.99,21,-0.27486352873480044596479397511143558
0.99,22,-0.31672491263761415530963865513385767
0.99,23,-0.35056944460174350787957522000001795
0.99,24,-0.37613846944391665429882853028351457
0.99,25,-0.3933124192913021018891244699313284
0.99,26,-0.40211085822768948418277168047339284
0.99,27,-0.40269014183825971839501166502264077
0.99,28,-0.39533875181948662132000600692866226
0.99,29,-0.38047040667939164572009462355575991
0.99,30,-0.35861508837927179362848153593775883
0.99,31,-0.33040816086588625972024225604651016
0.99,32,-0.29657778917024688223087190768753484
0.99,33,-0.25793089652718261785726546057585235
0.99,34,-0.21533792129499634633424251411304176
0.99,35,-0.16971665490677117939933483370702975
0.99,36,-0.12201545633533538809045281992973645
0.99,37,-0.073196147370565566481345399903412839
0.99,38,-0.024216896259396944819334545542982981
0.99,39,0.023984605082760575366028840253003735
0.99,40,0.070507372940979635762552551178220845
0.99,41,0.11450248860553009576666347652099469
0.99,42,0.15518731424133911472552887097305443
0.99,43,0.19185832492968424104173182525996132
0.99,44,0.22390234122309367271533572533967841
0.99,45,0.25080597751690392711382173086601407
0.99,46,0.27216315564040563736482774868983931
0.99,47,0.28768056966030991830075554527984646
0.99,48,0.29718102628027255452714718318307392
0.99,49,0.30060462469387136891376319938282268
0.99,50,0.29800777957025954862174168171078867
